Name,Boarding Station,Drop Station
Riley Walker,Orlando,Miami
Taylor Allen,Jacksonville,Gainesville
Chris Hall,Gainesville,Orlando
Riley Johnson,Jacksonville,Tallahassee
Chris Johnson,Jacksonville,Tallahassee
Sam Smith,Orlando,Fort Lauderdale
Riley Johnson,Gainesville,Tampa
Casey Taylor,Miami,Gainesville
Sam Taylor,Fort Lauderdale,Jacksonville
Sam Walker,Tampa,Tallahassee
Jamie Lee,Miami,Jacksonville
Sam Allen,Tampa,Orlando
Chris Walker,Fort Lauderdale,Orlando
Sam Wright,Orlando,Fort Lauderdale
Casey King,Miami,Tampa
Sam Wright,Gainesville,Jacksonville
Jordan Smith,Gainesville,Miami
Riley Wright,Tallahassee,Tampa
Jamie King,Jacksonville,Orlando
Chris Smith,Tampa,Tallahassee
Jamie Walker,Tallahassee,Miami
Taylor Johnson,Fort Lauderdale,Orlando
Alex Taylor,Miami,Tallahassee
Sam Walker,Fort Lauderdale,Gainesville
Jamie King,Miami,Orlando
Jordan Hall,Miami,Tallahassee
Taylor Walker,Jacksonville,Miami
Jordan Taylor,Orlando,Gainesville
Drew Smith,Jacksonville,Orlando
Sam Lee,Miami,Fort Lauderdale
Drew Taylor,Tampa,Tallahassee
Casey Brown,Fort Lauderdale,Jacksonville
Casey Taylor,Orlando,Miami
Casey Taylor,Orlando,Jacksonville
Casey Brown,Miami,Tallahassee
Chris Walker,Jacksonville,Fort Lauderdale
Jamie Walker,Jacksonville,Gainesville
Jordan Johnson,Orlando,Tallahassee
Casey Taylor,Jacksonville,Tampa
Drew Brown,Tampa,Fort Lauderdale
Chris Allen,Tallahassee,Miami
Riley Brown,Orlando,Tampa
Morgan Taylor,Fort Lauderdale,Tallahassee
Morgan Smith,Tampa,Gainesville
Jamie Hall,Tampa,Miami
Jordan Taylor,Orlando,Gainesville
Casey Lee,Miami,Fort Lauderdale
Alex Brown,Tampa,Jacksonville
Jamie Wright,Orlando,Jacksonville
Riley Walker,Orlando,Fort Lauderdale
Chris Brown,Miami,Tampa
Sam Wright,Jacksonville,Miami
Casey Taylor,Gainesville,Miami
Sam Taylor,Gainesville,Orlando
Jamie Hall,Tallahassee,Fort Lauderdale
Jamie Lee,Tampa,Orlando
Jordan Brown,Tampa,Miami
Morgan Johnson,Gainesville,Orlando
Taylor Lee,Gainesville,Orlando
Taylor Wright,Orlando,Jacksonville
Morgan Brown,Miami,Tampa
Jamie Walker,Tampa,Fort Lauderdale
Taylor Wright,Gainesville,Tampa
Drew Johnson,Fort Lauderdale,Tallahassee
Morgan Smith,Fort Lauderdale,Tampa
Morgan Walker,Miami,Gainesville
Drew King,Tampa,Orlando
Jordan Lee,Jacksonville,Orlando
Sam Hall,Tallahassee,Orlando
Riley Walker,Orlando,Fort Lauderdale
Casey Allen,Tampa,Jacksonville
Jordan Johnson,Miami,Tampa
Morgan Brown,Orlando,Tallahassee
Riley Lee,Miami,Tallahassee
Taylor Smith,Fort Lauderdale,Tallahassee
Taylor Brown,Tallahassee,Orlando
Jamie Johnson,Tampa,Fort Lauderdale
Drew Brown,Jacksonville,Tampa
Jamie Hall,Jacksonville,Orlando
